name,model_type,metric_type,metric_value,train_time
22_LightGBM_Stacked,LightGBM,accuracy,0.9897610921501706,11.48
59_NeuralNetwork_Stacked,Neural Network,accuracy,0.9829351535836177,12.73
105_CatBoost_Stacked,CatBoost,accuracy,0.9795221843003413,20.42
39_RandomForest_Stacked,Random Forest,accuracy,0.9385665529010239,17.76
97_ExtraTrees_Stacked,Extra Trees,accuracy,0.9010238907849829,20.68
13_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,16.42
25_LightGBM_Stacked,LightGBM,accuracy,0.9897610921501706,16.98
58_NeuralNetwork_Stacked,Neural Network,accuracy,0.962457337883959,15.52
78_RandomForest_SelectedFeatures_Stacked,Random Forest,accuracy,0.9078498293515358,16.94
114_ExtraTrees_Stacked,Extra Trees,accuracy,0.9078498293515358,21.26
115_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,18.69
86_LightGBM_Stacked,LightGBM,accuracy,0.9863481228668942,16.41
63_NeuralNetwork_Stacked,Neural Network,accuracy,0.9556313993174061,15.43
Ensemble_Stacked,Ensemble,accuracy,0.9965870307167235,14.03
